grade,check_major,subject_number,subject_name,credit,professor,time,universe,department
1,전공,05056-01,논리회로(영어A강의),3,조성래,"금4,5,6",소프트웨어대학,소프트웨어학부
1,전공,05056-02,논리회로(영어A강의),3,조성래,"금7,8,9",소프트웨어대학,소프트웨어학부
1,전공,49361-01,비쥬얼프로그래밍,3,김승태,"수10,11,12",소프트웨어대학,소프트웨어학부
1,전공,49361-02,비쥬얼프로그래밍,3,김승태,"목10,11,12",소프트웨어대학,소프트웨어학부
1,전공,49361-03,비쥬얼프로그래밍,3,,"수10,11,12 ",소프트웨어대학,소프트웨어학부
1,전공,11185-03,선형대수학,3,천상민,"화8 / 목7,8",소프트웨어대학,소프트웨어학부
1,전공,11185-01,선형대수학(영어A강의),3,권준석,"화3,4 / 목4",소프트웨어대학,소프트웨어학부
1,전공,11185-02,선형대수학(영어A강의),3,권준석,"화5 / 목5,6",소프트웨어대학,소프트웨어학부
1,전공,17086-01,이산수학,3,박재현,"목7,8,9",소프트웨어대학,소프트웨어학부
1,전공,17086-02,이산수학,3,윤경현,"월7,8,9",소프트웨어대학,소프트웨어학부
1,전공,17086-03,이산수학(영어A강의),3,김은우,"수7,8,9",소프트웨어대학,소프트웨어학부
1,전공,47710-01,프로그래밍,3,김명호,"화5,6 / 목5,6     ",소프트웨어대학,소프트웨어학부
1,전공,47710-02,프로그래밍,3,신재진,"월3,4 / 수3,4   ",소프트웨어대학,소프트웨어학부
1,전공,47710-03,프로그래밍,3,신재진,"월5,6 / 수5,6   ",소프트웨어대학,소프트웨어학부
1,전공,47710-04,프로그래밍,3,이창하,"월5,6 / 수5,6  ",소프트웨어대학,소프트웨어학부
1,전공,47710-05,프로그래밍,3,이형태,"화7,8,9,10   ",소프트웨어대학,소프트웨어학부
1,전공,47710-06,프로그래밍,3,김명호,"목7,8 / 화7,8     ",소프트웨어대학,소프트웨어학부
1,전공,47710-07,프로그래밍,3,김승태,"목5,6,7,8   ",소프트웨어대학,소프트웨어학부
1,전공,47710-08,프로그래밍,3,김형태,"화7,8 / 목7,8   ",소프트웨어대학,소프트웨어학부
2,전공,49156-04,객체지향프로그래밍,3,조용진,"수7,8,9",소프트웨어대학,소프트웨어학부
2,전공,49156-01,객체지향프로그래밍(영어A강의),3,손봉수,"월2 / 수1,2",소프트웨어대학,소프트웨어학부
2,전공,49156-02,객체지향프로그래밍(영어A강의),3,손봉수,"월3,4 / 수3",소프트웨어대학,소프트웨어학부
2,전공,49156-03,객체지향프로그래밍(영어A강의),3,손봉수,"월6 / 수5,6",소프트웨어대학,소프트웨어학부
2,전공,34692-01,데이타베이스설계,3,강현철,"월5 / 수5,6",소프트웨어대학,소프트웨어학부
2,전공,34692-02,데이타베이스설계,3,강현철,"월7,8 / 수8",소프트웨어대학,소프트웨어학부
2,전공,34692-03,데이타베이스설계,3,,"월7,8, 수8 ",소프트웨어대학,소프트웨어학부
2,전공,40458-01,오토마타와형식언어,3,김성권,"월2 / 수1,2",소프트웨어대학,소프트웨어학부
2,전공,40458-02,오토마타와형식언어,3,김성권,"월6 / 수5,6",소프트웨어대학,소프트웨어학부
2,전공,40458-03,오토마타와형식언어,3,김진성,"월3,4 / 수3",소프트웨어대학,소프트웨어학부
2,전공,21427-01,컴퓨터구조(영어A강의),3,백정엽,"화3,4 / 금3",소프트웨어대학,소프트웨어학부
2,전공,21427-02,컴퓨터구조(영어A강의),3,백정엽,"화5,6 / 금5",소프트웨어대학,소프트웨어학부
2,전공,21427-03,컴퓨터구조(영어A강의),3,김효수,"화5,6 / 목6",소프트웨어대학,소프트웨어학부
2,전공,21427-04,컴퓨터구조(영어A강의),3,김효수,"화8 / 목7,8",소프트웨어대학,소프트웨어학부
2,전공,22405-01,프로그래밍언어론,3,김명호,"금2,3,4",소프트웨어대학,소프트웨어학부
2,전공,22405-02,프로그래밍언어론,3,김성조,"수7,8,9",소프트웨어대학,소프트웨어학부
2,전공,22405-03,프로그래밍언어론,3,김명호,"금7,8,9",소프트웨어대학,소프트웨어학부
2,전공,22405-04,프로그래밍언어론(영어A강의),3,김진성,"목7,8,9",소프트웨어대학,소프트웨어학부
3,전공,52811-01,리눅스 시스템 응용 설계(영어A강의),3,손용석,"화2 / 목1,2",소프트웨어대학,소프트웨어학부
3,전공,52811-02,리눅스 시스템 응용 설계(영어A강의),3,손용석,"화5,6 / 목5",소프트웨어대학,소프트웨어학부
3,전공,47713-01,모바일 앱 개발(영어A강의),3,이형태,"월2 / 수1,2",소프트웨어대학,소프트웨어학부
3,전공,52718-01,비즈니스 인텔리전스(영어A강의),3,정재은,"월3,4 / 수3",소프트웨어대학,소프트웨어학부
3,전공,53090-01,산업체핸즈온 프로젝트,3,방영세 김명호 신재진,"월8,9,10",소프트웨어대학,소프트웨어학부
3,전공,14871-01,영상처리(영어A강의),3,최광남,"목7,8,9",소프트웨어대학,소프트웨어학부
3,전공,52320-02,웹프로그래밍,3,김상욱,"수7,8,9",소프트웨어대학,소프트웨어학부
3,전공,52320-01,웹프로그래밍(영어A강의),3,김상욱,"월7,8,9",소프트웨어대학,소프트웨어학부
3,전공,17182-01,인공지능,3,이재성,"월5,6 / 수5",소프트웨어대학,소프트웨어학부
3,전공,17182-02,인공지능,3,이재성,"월7 / 수7,8",소프트웨어대학,소프트웨어학부
3,전공,17182-03,인공지능,3,김형태,"화5,6 / 목5",소프트웨어대학,소프트웨어학부
3,전공,17182-04,인공지능,3,,"월5,6 / 수5",소프트웨어대학,소프트웨어학부
3,전공,50178-01,캡스톤디자인(1)(영어A강의),2,박상오,"금1,2,3,4  ",소프트웨어대학,소프트웨어학부
3,전공,50178-02,캡스톤디자인(1)(영어A강의),2,박상오,"금5,6,7,8  ",소프트웨어대학,소프트웨어학부
3,전공,50178-03,캡스톤디자인(1)(영어A강의),2,김무철,"금1,2,3,4 ",소프트웨어대학,소프트웨어학부
3,전공,50178-04,캡스톤디자인(1)(영어A강의),2,김무철,"금5,6,7,8 ",소프트웨어대학,소프트웨어학부
3,전공,50178-05,캡스톤디자인(1)(영어A강의),2,김효수,"금1,2,3,4   ",소프트웨어대학,소프트웨어학부
3,전공,50178-06,캡스톤디자인(1)(영어A강의),2,김효수,"금5,6,7,8   ",소프트웨어대학,소프트웨어학부
3,전공,50178-07,캡스톤디자인(1)(영어A강의),2,김은우,"금1,2,3,4   ",소프트웨어대학,소프트웨어학부
3,전공,50178-08,캡스톤디자인(1)(영어A강의),2,김은우,"금5,6,7,8   ",소프트웨어대학,소프트웨어학부
3,전공,21449-01,컴퓨터그래픽스,3,이창하,"화3 / 목3,4",소프트웨어대학,소프트웨어학부
3,전공,21574-01,컴퓨터통신,3,박창윤,"월5 / 수5,6",소프트웨어대학,소프트웨어학부
3,전공,21574-02,컴퓨터통신,3,박창윤,"월7,8 / 수8",소프트웨어대학,소프트웨어학부
3,전공,54614-01,코딩부트캠프,3,김무철,"화8,9,10",소프트웨어대학,소프트웨어학부
3,전공,51281-01,휴먼인터페이스미디어,3,박재화,"금1,2,3",소프트웨어대학,소프트웨어학부
3,전공,51281-02,휴먼인터페이스미디어,3,박재화,"금5,6,7",소프트웨어대학,소프트웨어학부
