grade,check_major,subject_number,subject_name,credit,professor,time,universe,department
1,전공,41144-02,공업수학,3,최우준,"화1,2 / 목1",창의ICT공과대학,전자전기공학부
1,전공,41144-03,공업수학,3,최우준,"화6 / 목5,6",창의ICT공과대학,전자전기공학부
1,전공,41144-01,공업수학(영어A강의),3,최대현,"화1,2 / 목2",창의ICT공과대학,전자전기공학부
1,전공,41144-04,공업수학(영어A강의),3,최대현,"수7,8,9",창의ICT공과대학,전자전기공학부
1,전공,05056-01,논리회로,3,송오영,"화3 / 목3,4",창의ICT공과대학,전자전기공학부
1,전공,05056-02,논리회로,3,박세현,"월5,6 / 수6",창의ICT공과대학,전자전기공학부
1,전공,05056-03,논리회로,3,김준성,"화3,4 / 목4",창의ICT공과대학,전자전기공학부
1,전공,05056-04,논리회로(영어A강의),3,심용,"수1 / 금1,2",창의ICT공과대학,전자전기공학부
1,전공,41146-01,미분적분학(2),3,천상민,"월3 / 수3,4",창의ICT공과대학,전자전기공학부
1,전공,41146-02,미분적분학(2),3,강수란,"월1,2 / 수2",창의ICT공과대학,전자전기공학부
1,전공,41146-03,미분적분학(2),3,천상민,"월1,2 / 수2",창의ICT공과대학,전자전기공학부
1,전공,17428-01,일반물리(2),3,이근중,"목7,8,9",창의ICT공과대학,전자전기공학부
1,전공,17428-02,일반물리(2),3,이동원,"금7,8,9",창의ICT공과대학,전자전기공학부
1,전공,17428-03,일반물리(2),3,남형주,"금7,8,9",창의ICT공과대학,전자전기공학부
1,전공,17438-01,일반물리실험(2),1,남형주,"월7,8  ",창의ICT공과대학,전자전기공학부
1,전공,17438-02,일반물리실험(2),1,윤옥자,"월7,8  ",창의ICT공과대학,전자전기공학부
1,전공,17438-03,일반물리실험(2),1,김시연,"화9,10  ",창의ICT공과대학,전자전기공학부
1,전공,17438-04,일반물리실험(2),1,강궁원,"화9,10  ",창의ICT공과대학,전자전기공학부
1,전공,17438-05,일반물리실험(2),1,윤옥자,"수9,10  ",창의ICT공과대학,전자전기공학부
1,전공,17438-06,일반물리실험(2),1,남형주,"수9,10  ",창의ICT공과대학,전자전기공학부
1,전공,17438-07,일반물리실험(2),1,정태성,"목9,10  ",창의ICT공과대학,전자전기공학부
1,전공,17438-08,일반물리실험(2),1,윤옥자,"목9,10  ",창의ICT공과대학,전자전기공학부
2,전공,49156-01,객체지향프로그래밍,3,홍철호,"목7,8,9",창의ICT공과대학,전자전기공학부
2,전공,49156-02,객체지향프로그래밍(영어A강의),3,이민혁,"화1 / 목1,2",창의ICT공과대학,전자전기공학부
2,전공,49156-03,객체지향프로그래밍(영어A강의),3,이민혁,"화2 / 금1,2",창의ICT공과대학,전자전기공학부
2,전공,04746-01,기초전자회로,3,김호성,"월1,2 / 수2",창의ICT공과대학,전자전기공학부
2,전공,04746-02,기초전자회로,3,김창일,"월7,8 / 수8",창의ICT공과대학,전자전기공학부
2,전공,04746-03,기초전자회로,3,송상헌,"월7,8 / 수8",창의ICT공과대학,전자전기공학부
2,전공,04746-04,기초전자회로,3,백동현,"월7,8 / 수7",창의ICT공과대학,전자전기공학부
2,전공,04746-05,기초전자회로(영어A강의),3,심용,"월1,2 / 수2",창의ICT공과대학,전자전기공학부
2,전공,11934-01,수치해석,3,김정필,"화3,4 / 목4",창의ICT공과대학,전자전기공학부
2,전공,11934-02,수치해석(영어A강의),3,유성진,"화5 / 목5,6",창의ICT공과대학,전자전기공학부
2,전공,11934-03,수치해석(영어A강의),3,이우주,"화5 / 목5,6",창의ICT공과대학,전자전기공학부
2,전공,11934-04,수치해석(영어A강의),3,최근창,"화4 / 목3,4",창의ICT공과대학,전자전기공학부
2,전공,11934-05,수치해석(영어A강의),3,이정륜,"화3,4 / 목3",창의ICT공과대학,전자전기공학부
2,전공,35792-01,전기회로설계실습,2,이홍기,"월9,10,11,12  ",창의ICT공과대학,전자전기공학부
